tobs,vrads,dvrads,stellar_mass,planet_mass,UM,UL,UT
0.0,44.57574312553215,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
14618.880000000001,9.042053044189018,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
29237.760000000002,-4.2581959156429035,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
43856.64000000001,-23.907306984447235,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
58475.520000000004,-17.88722331550858,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
73094.40000000001,-61.23361402102865,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
87713.28000000001,-30.01819391713308,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
102332.16000000002,-61.309888314966706,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
116951.04000000001,-53.326334849745145,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
131569.92,-58.237587815732304,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
146188.80000000002,-36.807330289357104,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
160807.68000000002,-64.44596652443064,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
175426.56000000003,-36.69847389689144,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
190045.44,-24.817230601310182,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
204664.32000000004,4.191731582555015,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
219283.20000000004,-3.8600114116790714,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
233902.08000000002,19.24579217693568,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
248520.96000000002,24.68997390899678,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
263139.84,44.262187189408,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
277758.72000000003,57.253572751803155,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
292377.60000000003,44.736413865362195,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
306996.48000000004,67.96447635324765,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
321615.36000000004,62.71599919407866,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
336234.24000000005,52.49514243466485,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
350853.12000000005,47.23204177808526,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
365472.00000000006,19.710310016764577,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
380090.88,11.955641595777571,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
394709.76000000007,-10.374098748940087,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
409328.6400000001,-17.83163897573852,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
423947.52,-23.022569922653886,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
438566.4000000001,-46.615918003663126,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
453185.28,-52.517062971424885,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
467804.16000000003,-61.186054659651475,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
482423.0400000001,-65.07940247730917,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
497041.92000000004,-62.05404738793739,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
511660.8000000001,-50.66540625627017,10.0,1.06,0.00044675010149764416,1.988409870698051e+30,149597870700.0,5022642.891706651
