tobs,vrads,dvrads,stellar_mass,planet_mass,UM,UL,UT
0.0,0.9940374572116593,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
28994.112,0.3744350799131467,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
57988.224,0.1938920300621384,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
86982.336,-0.13387565037754626,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
115976.448,0.018502626010393215,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
144970.56,-0.8594234333797101,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
173964.672,-0.2941568413686441,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
202958.78399999999,-1.0265214264854026,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
231952.896,-1.0145006235985585,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
260947.008,-1.2901247207409308,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
289941.12,-1.0541215049869763,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
318935.232,-1.7994446836103806,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
347929.344,-1.423407703780319,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
376923.456,-1.3406396475957032,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
405917.56799999997,-0.8842232870206493,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
434911.68000000005,-1.1334059782278856,0.2,0.1221,3.213733603270349e-06,1.988409870698051e+30,149597870700.0,5022642.891706651
