tobs,vrads,dvrads,stellar_mass,planet_mass,UM,UL,UT
0.0,40.09622344930011,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
884304.0,22.26622299023692,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
1768608.0,12.835968016850837,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
2652912.0,-4.518356521869356,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
3537216.0,-16.858911540567295,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
4421520.0,-65.1698689797142,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
5305824.0,-82.43075849435874,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
6190128.000000001,-102.63215799142785,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
7074432.0,-63.94312541262897,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
7958736.0,-31.193556361001953,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
8843040.0,2.3408134689579194,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
9727344.0,1.2964091800893291,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
10611648.0,21.090183448216465,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
11495952.0,28.290844283297766,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
12380256.000000002,40.87641872969333,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
13264560.000000002,32.81505612302491,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
14148864.0,39.015147002002884,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
15033168.0,35.667997701276924,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
15917472.0,39.08364586951592,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
16801776.000000004,39.11635506892073,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
17686080.0,26.253475322254385,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
18570384.0,30.723510509152508,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
19454688.0,19.504253645976757,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
20338992.0,2.640179082504761,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
21223296.0,-17.76675671034017,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
22107600.0,-58.59923254241921,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
22991904.0,-92.97239699468638,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
23876208.000000004,-102.72607372280473,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
24760512.000000004,-65.30137209397246,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
25644816.000000004,-26.089969297841364,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
26529120.000000004,-7.625679364402907,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
27413424.000000004,10.14744426134929,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
28297728.0,19.627108191614294,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
29182032.0,26.228217541136715,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
30066336.0,32.00909672613207,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
30950640.0,38.34188968211283,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
31834944.0,34.323973266766224,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
32719248.0,41.20848487311271,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
33603552.00000001,47.094494630965784,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
34487856.0,39.771166610611886,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
35372160.0,30.57581054681141,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
36256464.0,20.2315115090119,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
37140768.0,10.772320689323003,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
38025072.0,7.859260951471123,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
38909376.0,-23.11965561259932,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
39793680.0,-59.89620788072879,5.0,0.123,0.00043911334762588954,1.988409870698051e+30,149597870700.0,5022642.891706651
